,pitcher,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,release_spin_rate,release_extension,spin_axis,swinging_strike,name,throw_hand,height,weight,age_on_july_1
92,554340,94.6308600337268,-2.65283305227656,5.066964586846543,-0.9516188870151769,0.9955649241146711,2405.3654822335025,5.745868465430017,228.69543147208122,0.12141652613827993,YimiGarcia,R,73,230,31.86858316221766
93,554430,95.78173147468819,-1.5862142333088776,5.5388041085840065,-0.9340719002201028,1.2377402787967717,2340.409391049156,7.279090242112986,217.83272193690388,0.11518708730741012,ZacharyHarrisonWheeler,R,76,195,32.087611225188226
94,554431,94.06915708812261,1.687126436781609,6.2652107279693485,0.3179501915708812,1.4600383141762452,2442.3352490421457,6.295019157088123,156.2911877394636,0.10344827586206896,TylerAlexanderMatzek,L,75,230,31.698836413415467
95,570257,92.71572769953052,3.860845070422535,5.434553990610328,1.3952347417840376,0.5950469483568075,1964.1560283687943,6.279342723004695,125.63120567375887,0.05868544600938967,JoelyRodríguez,L,73,200,30.628336755646817
96,570488,94.0798449612403,-2.113565891472868,4.933953488372093,-1.650232558139535,0.5544186046511628,2378.4031007751937,6.876744186046512,245.7829457364341,0.046511627906976744,PhillipsChalierValdez,R,74,160,30.622861054072555
97,570632,95.69022316684378,-1.7418065887353877,5.825621679064825,-1.161817215727949,0.6643251859723698,2186.0818278427205,6.249946865037194,222.19872476089267,0.06482465462274177,JoséMiguelUreña,R,74,208,30.80082135523614
98,570663,95.956,-0.9063500000000001,5.2928999999999995,-1.2287000000000001,1.3410499999999999,2302.65,6.2905,225.065,0.105,HanselManuelRobles,R,72,220,31.88227241615332
99,570666,93.39725158562368,-0.8854545454545455,6.053551797040169,-0.9426427061310783,1.0293446088794926,2242.6993603411515,5.68404255319149,211.79744136460553,0.05496828752642706,LuisEnriqueCessa,R,72,208,30.182067077344286
100,571446,94.96607142857144,-1.1615178571428573,6.062410714285714,-1.18875,0.9771428571428571,1892.3482142857142,7.0562499999999995,215.15178571428572,0.03571428571428571,MarkStewartAppel,R,77,220,30.962354551676935
101,571479,94.33833780160857,-1.6420911528150135,5.475093833780161,-0.8729490616621984,1.3981769436997318,2437.941018766756,5.856836461126005,221.10187667560322,0.1126005361930295,AndrewJamesBellatti,R,73,190,30.90485968514716
102,571578,92.61890205864006,2.0791016843418593,6.398009981285091,1.0382657517155334,1.060386774797255,2084.350811485643,6.755084217092951,146.40449438202248,0.050530255770430445,PatrickAlanCorbin,L,76,222,32.95003422313484
103,571656,94.62908587257617,-1.192465373961219,5.937894736842105,-0.841218836565097,1.2761495844875346,2322.214084507042,6.108450704225352,224.50422535211268,0.11080332409972299,GeorgeRunieFarmer,R,76,232,31.359342915811087
104,571670,92.53313953488372,-3.419593023255814,6.095736434108527,-1.1999418604651162,0.9426744186046512,2149.826848249027,6.3276264591439695,226.7898832684825,0.07751937984496124,DylanLeeFloro,R,74,203,31.509924709103355
105,571710,93.38253638253639,-2.661995841995842,4.685571725571726,-0.578024948024948,0.9965904365904367,2424.5301455301455,6.374636174636175,230.23700623700623,0.10810810810810811,MychalAntonioGivens,R,72,230,32.134154688569474
106,571760,92.915731874145,2.8816689466484267,5.08984952120383,1.2337893296853626,1.1961969904240766,2442.280821917808,6.194117647058823,127.8,0.12995896032831739,AndrewM.Heaney,L,74,200,31.071868583162217
107,571800,92.50198895027624,-2.5384198895027623,6.187966850828729,-0.44625414364640886,1.3639005524861878,2266.586740331492,5.990055248618784,196.47955801104973,0.056353591160221,AndrewScottHutchison,R,75,215,31.857631759069132
108,571882,92.075,-1.3728125,6.347421875,-0.0565625,0.6903515625,2263.796875,6.523046875,188.77734375,0.09765625,DerekRobertLaw,R,75,225,31.794661190965094
109,571901,88.389375,4.1907625,4.5197875,0.912925,0.276925,2214.42625,5.990375,128.8675,0.105,AaronChristopherLoup,L,71,210,34.53251197809719
110,571927,94.51601941747572,1.8277912621359222,5.7711407766990295,1.2812621359223302,1.0281553398058254,2259.827930174564,6.385572139303482,123.91271820448878,0.12378640776699029,StevenJakobMatz,L,74,201,31.091033538672143
111,571945,93.26542800265428,-2.041579296615793,6.551877903118779,-0.7283344392833443,1.1495686794956868,2264.759493670886,6.425348374253484,208.61625582944703,0.08294625082946251,MilesTiceMikolas,R,76,230,33.85352498288843
112,571948,88.90201612903226,4.221733870967742,4.4635483870967745,1.525,0.05762096774193549,1986.8259109311741,6.564516129032258,103.46761133603239,0.07056451612903226,HobyMilner,L,75,175,31.463381245722108
113,572070,94.35595238095237,-2.3597619047619047,5.8168452380952385,0.026488095238095238,0.7329761904761904,2308.3988095238096,6.019642857142857,201.21428571428572,0.07142857142857142,GarrettThomasRichards,R,74,210,34.09445585215606
114,572125,89.4920634920635,1.3555555555555556,5.697222222222222,0.2942063492063492,1.1507142857142858,2179.0793650793653,6.499206349206349,150.86507936507937,0.07936507936507936,SamuelAyresSelman,L,74,198,31.627652292950035
115,572193,92.6192118226601,-2.074310344827586,5.713866995073891,-0.8601970443349753,1.2698522167487682,2207.9215189873416,6.395320197044335,215.90886075949368,0.0665024630541872,DennisRyanTepera,R,73,195,34.65845311430527
116,572403,94.49226804123711,-1.2188144329896906,6.649226804123711,-0.6738144329896907,1.2145360824742268,2366.9484536082473,6.15360824742268,202.96391752577318,0.08247422680412371,DrewEdwardVerHagen,R,78,230,31.690622861054074
117,572703,92.65132743362832,-1.5196460176991151,5.510088495575221,-0.6322123893805309,1.2367256637168142,2611.1071428571427,6.464601769911504,215.96428571428572,0.061946902654867256,LukeFrancisBard,R,75,200,31.630390143737166
118,572955,94.83796296296296,-1.9936111111111112,5.949074074074074,-0.9843518518518519,1.334537037037037,2171.877358490566,5.832407407407407,222.33962264150944,0.09259259259259259,PierceWilliamJohnson,R,74,202,31.143052703627653
119,572971,86.7909090909091,1.424137022397892,6.120210803689064,0.8595915678524374,0.5905270092226613,2018.5429326287979,5.953430079155672,145.00528401585206,0.06719367588932806,DallasKeuchel,L,74,205,34.496919917864474
120,573009,90.42707182320441,3.139254143646409,5.323535911602209,1.5075138121546963,0.3841436464088398,2187.991666666667,6.419060773480663,114.60277777777777,0.049723756906077346,JosephNewmanMantiply,L,76,219,31.3347022587269
121,573124,94.30309734513274,1.6765707964601768,5.542588495575221,1.413716814159292,0.6363716814159291,2168.5951327433627,5.7420353982300885,128.21238938053096,0.06415929203539823,TaylorAllenRogers,L,75,190,31.537303216974674
